City,Latitude,Longitude,Max_Temp,Humidity,Cloudy,Wind,Country,Date
kihei,20.79,-156.47,91.4,41.0,20.0,24.16,US,1592519239.0
ambatolampy,-19.38,47.42,53.6,87.0,75.0,5.82,MG,1592519239.0
pechenga,69.53,31.17,44.6,70.0,40.0,21.92,RU,1592519240.0
alekseyevskaya,50.29,42.18,69.01,73.0,28.0,1.01,RU,1592519240.0
cayenne,4.93,-52.33,78.8,94.0,71.0,4.7,GF,1592519240.0
nemuro,43.32,145.57,54.41,94.0,96.0,5.68,JP,1592519240.0
port alfred,-33.59,26.89,62.33,53.0,0.0,12.41,ZA,1592519240.0
vestmannaeyjar,63.44,-20.27,49.14,78.0,52.0,18.3,IS,1592519047.0
tingi,-11.3,35.03,54.1,92.0,0.0,3.22,TZ,1592519240.0
touros,-5.2,-35.46,73.4,94.0,75.0,6.93,BR,1592519240.0
cockburn town,21.46,-71.14,86.0,66.0,40.0,13.87,TC,1592519240.0
honiara,-9.43,159.95,77.0,88.0,20.0,2.24,SB,1592518810.0
mahebourg,-20.41,57.7,69.8,83.0,75.0,13.87,MU,1592518906.0
lethem,3.38,-59.8,79.57,86.0,75.0,2.21,GY,1592519169.0
tura,25.52,90.22,74.3,99.0,100.0,4.21,IN,1592519044.0
arraial do cabo,-22.97,-42.03,73.4,78.0,13.0,13.87,BR,1592519170.0
half moon bay,37.46,-122.43,91.99,77.0,1.0,9.17,US,1592518788.0
castro,-24.79,-50.01,58.06,94.0,100.0,4.47,BR,1592519334.0
dikson,73.51,80.55,32.94,98.0,90.0,17.05,RU,1592519170.0
lagoa,39.05,-27.98,64.6,89.0,0.0,11.21,PT,1592519001.0
paamiut,61.99,-49.67,39.61,83.0,56.0,16.37,GL,1592519037.0
raga,8.46,25.68,71.87,92.0,100.0,3.58,SS,1592519242.0
havoysund,71.0,24.66,42.8,87.0,75.0,18.34,NO,1592519242.0
east london,-33.02,27.91,63.41,67.0,0.0,15.01,ZA,1592519242.0
udimskiy,61.14,45.91,49.98,68.0,0.0,4.83,RU,1592519242.0
katangli,51.71,143.23,40.98,98.0,100.0,10.78,RU,1592519242.0
qaanaaq,77.48,-69.36,34.61,86.0,0.0,2.01,GL,1592519242.0
puerto ayora,-0.74,-90.35,82.4,51.0,75.0,20.8,EC,1592519242.0
longyearbyen,78.22,15.64,46.4,61.0,40.0,6.93,SJ,1592518867.0
troitsko-pechorsk,62.71,56.2,38.66,74.0,38.0,2.53,RU,1592519242.0
vila franca do campo,37.72,-25.43,64.4,72.0,75.0,5.82,PT,1592519243.0
constitucion,-35.33,-72.42,55.24,90.0,100.0,27.13,CL,1592519172.0
ketchikan,55.34,-131.65,57.2,100.0,90.0,32.21,US,1592518999.0
norman wells,65.28,-126.83,78.8,34.0,75.0,10.29,CA,1592518819.0
batagay-alyta,67.8,130.41,72.77,32.0,1.0,1.43,RU,1592519243.0
leningradskiy,69.38,178.42,45.63,58.0,55.0,6.69,RU,1592519258.0
nouadhibou,20.93,-17.03,71.6,78.0,0.0,16.11,MR,1592519145.0
makakilo city,21.35,-158.09,86.0,61.0,40.0,14.99,US,1592519114.0
nanortalik,60.14,-45.24,39.76,82.0,87.0,6.31,GL,1592519312.0
dubrovnik,42.65,18.09,64.4,88.0,21.0,2.24,HR,1592519244.0
hithadhoo,-0.6,73.08,84.38,75.0,91.0,9.62,MV,1592519244.0
matagami,49.75,-77.63,89.6,24.0,1.0,12.75,CA,1592519055.0
kota tinggi,1.74,103.9,77.0,94.0,20.0,1.7,MY,1592519173.0
kavieng,-2.57,150.8,83.32,71.0,21.0,3.85,PG,1592519173.0
maumere,-8.62,122.21,78.62,81.0,15.0,7.61,ID,1592519244.0
valdivia,-39.81,-73.25,57.2,82.0,40.0,12.75,CL,1592519244.0
suntar,62.14,117.63,54.16,90.0,21.0,3.22,RU,1592519173.0
puerto carreno,6.19,-67.49,82.4,78.0,40.0,9.17,CO,1592519245.0
lebu,-37.62,-73.65,54.46,88.0,100.0,14.36,CL,1592519173.0
camana,-16.62,-72.71,63.23,79.0,99.0,3.56,PE,1592519245.0
karratha,-20.74,116.85,69.19,57.0,0.0,6.11,AU,1592519245.0
aykhal,66.0,111.5,60.8,55.0,75.0,6.71,RU,1592519245.0
olafsvik,64.89,-23.71,48.94,76.0,99.0,13.65,IS,1592518963.0
vostok,46.49,135.88,48.33,100.0,95.0,2.55,RU,1592518915.0
broken hill,-31.95,141.43,46.4,70.0,0.0,12.75,AU,1592519174.0
grindavik,63.84,-22.43,50.0,81.0,75.0,18.34,IS,1592519022.0
synya,65.37,58.04,35.46,84.0,55.0,5.37,RU,1592519174.0
waren,53.52,12.68,61.0,83.0,100.0,4.81,DE,1592519246.0
ganzhou,28.82,115.43,70.59,92.0,100.0,6.44,CN,1592519246.0
dunmore town,25.5,-76.65,79.02,81.0,100.0,15.61,BS,1592519246.0
saint-philippe,-21.36,55.77,71.6,77.0,75.0,23.04,RE,1592519175.0
barpali,21.2,83.58,82.56,71.0,100.0,8.59,IN,1592519175.0
guarapari,-20.67,-40.5,71.01,94.0,6.0,2.24,BR,1592519050.0
great yarmouth,52.61,1.73,60.01,99.0,86.0,3.0,GB,1592519132.0
pevek,69.7,170.31,41.27,70.0,23.0,9.01,RU,1592519247.0
chuy,-33.7,-53.46,58.91,83.0,37.0,10.25,UY,1592519339.0
bethel,41.37,-73.41,79.0,69.0,1.0,8.05,US,1592518751.0
severo-kurilsk,50.68,156.12,43.48,84.0,81.0,8.34,RU,1592518761.0
husavik,66.04,-17.34,53.6,71.0,75.0,12.75,IS,1592519071.0
bluff,-46.6,168.33,39.0,83.0,0.0,3.0,NZ,1592519247.0
ola,59.58,151.28,53.73,80.0,11.0,1.45,RU,1592519247.0
srednekolymsk,67.45,153.68,84.52,19.0,18.0,5.48,RU,1592519248.0
peleduy,59.63,112.74,53.96,85.0,82.0,4.12,RU,1592519248.0
porto santo,33.07,-16.34,68.0,88.0,20.0,6.93,PT,1592519176.0
buala,-8.14,159.59,83.62,73.0,7.0,4.97,SB,1592518879.0
manicore,-5.81,-61.3,87.8,66.0,98.0,3.36,BR,1592519177.0
luderitz,-26.65,15.16,71.6,24.0,0.0,5.82,NA,1592519219.0
bathsheba,13.22,-59.52,80.6,88.0,40.0,13.87,BB,1592519177.0
toowoomba,-27.55,151.97,57.2,76.0,2.0,16.11,AU,1592519248.0
deputatskiy,69.3,139.9,74.88,41.0,33.0,3.18,RU,1592518757.0
kango,0.19,10.1,74.86,89.0,72.0,3.53,GA,1592519249.0
balkanabat,39.51,54.37,86.32,13.0,0.0,17.43,TM,1592519054.0
sobolevo,54.43,31.9,65.34,91.0,5.0,5.86,RU,1592519178.0
upernavik,72.79,-56.15,36.43,81.0,0.0,11.7,GL,1592519021.0
wajir,1.75,40.06,77.43,68.0,10.0,18.86,KE,1592519249.0
samarai,-10.62,150.67,79.45,83.0,49.0,15.66,PG,1592518895.0
santo domingo,18.5,-69.99,87.8,66.0,20.0,11.41,DO,1592519074.0
south river,40.45,-74.39,81.0,81.0,56.0,8.55,US,1592519250.0
avarua,-21.21,-159.78,75.2,64.0,73.0,10.29,CK,1592519250.0
hammerfest,70.66,23.68,41.0,93.0,75.0,24.16,NO,1592519250.0
bansgaon,26.56,83.35,81.72,83.0,97.0,11.9,IN,1592519179.0
hamilton,39.18,-84.53,80.01,78.0,20.0,3.36,US,1592518960.0
acapulco,16.86,-99.89,87.8,70.0,5.0,12.75,MX,1592519273.0
bengkulu,-3.8,102.27,75.2,89.0,99.0,4.56,ID,1592519028.0
jakar,27.55,90.75,57.29,76.0,100.0,2.64,BT,1592519250.0
umea,63.83,20.26,57.99,93.0,0.0,2.24,SE,1592519251.0
prince rupert,54.32,-130.32,59.0,87.0,90.0,16.11,CA,1592519136.0
inverness,57.48,-4.22,55.99,93.0,100.0,4.7,GB,1592519251.0
yarada,17.65,83.27,82.4,88.0,75.0,5.82,IN,1592519251.0
taree,-31.9,152.47,55.0,100.0,90.0,4.7,AU,1592519180.0
sabha,27.04,14.43,77.83,18.0,0.0,2.39,LY,1592519180.0
yaqui,27.37,-110.17,100.4,19.0,5.0,11.41,MX,1592519251.0
mar del plata,-38.0,-57.56,54.0,87.0,40.0,8.05,AR,1592519205.0
chissamba,-12.17,17.33,52.2,62.0,0.0,2.53,AO,1592519082.0
viedma,-40.81,-63.0,55.29,42.0,99.0,16.04,AR,1592519252.0
tiksi,71.69,128.87,52.12,74.0,100.0,2.48,RU,1592519045.0
jagdalpur,19.07,82.03,74.1,91.0,100.0,10.04,IN,1592519181.0
college,64.86,-147.8,75.0,35.0,75.0,5.82,US,1592519237.0
kyzyl-suu,42.34,78.0,49.42,74.0,100.0,2.13,KG,1592519252.0
palmer,42.16,-72.33,82.4,54.0,40.0,5.82,US,1592519252.0
calama,-22.47,-68.93,68.0,8.0,78.0,13.87,CL,1592519252.0
nacala,-14.54,40.67,68.9,89.0,35.0,9.95,MZ,1592519252.0
tazovskiy,67.47,78.7,37.11,77.0,0.0,11.23,RU,1592518968.0
kamaishi,39.27,141.88,67.37,77.0,100.0,2.84,JP,1592519253.0
lompoc,34.64,-120.46,69.01,72.0,1.0,13.87,US,1592518894.0
isangel,-19.55,169.27,78.8,69.0,75.0,13.65,VU,1592518972.0
ajdabiya,30.76,20.23,73.45,33.0,0.0,4.34,LY,1592519253.0
chhindwara,22.07,78.93,75.94,83.0,100.0,7.94,IN,1592519253.0
scarborough,54.28,-0.4,55.99,96.0,100.0,5.41,GB,1592519253.0
isla vista,34.41,-119.86,80.01,72.0,90.0,5.82,US,1592519182.0
ambilobe,-13.2,49.05,71.56,67.0,58.0,1.83,MG,1592519038.0
krasnyy chikoy,50.36,108.75,56.95,87.0,66.0,2.71,RU,1592519254.0
hay river,60.82,-115.8,77.0,41.0,20.0,8.05,CA,1592518912.0
stornoway,58.21,-6.39,57.99,93.0,71.0,8.05,GB,1592519254.0
gat,31.61,34.76,73.99,80.0,8.0,5.61,IL,1592518846.0
zemio,5.03,25.14,67.06,98.0,100.0,1.95,CF,1592519254.0
tembisa,-26.0,28.23,42.8,86.0,1.0,3.36,ZA,1592519254.0
dourbali,11.81,15.86,86.63,48.0,41.0,2.71,TD,1592519254.0
voyvozh,62.89,54.96,39.54,71.0,11.0,4.25,RU,1592519254.0
katubao,5.89,124.83,80.73,71.0,97.0,5.57,PH,1592519255.0
talnakh,69.49,88.4,42.8,81.0,94.0,13.42,RU,1592518851.0
kahului,20.89,-156.47,91.4,41.0,20.0,24.16,US,1592518857.0
saint-leu,-21.15,55.28,71.6,77.0,75.0,23.04,RE,1592519184.0
minot,48.23,-101.3,60.8,55.0,90.0,19.46,US,1592519097.0
airai,-8.93,125.41,58.95,100.0,78.0,4.81,TL,1592519346.0
muli,2.92,73.57,84.16,71.0,74.0,4.03,MV,1592519184.0
las palmas,28.42,-14.01,73.4,73.0,22.0,16.11,ES,1592519255.0
sterlibashevo,53.44,55.26,47.39,71.0,0.0,9.35,RU,1592519184.0
stjordalshalsen,63.47,10.93,62.6,77.0,0.0,2.24,NO,1592519256.0
saskylakh,71.92,114.08,69.73,49.0,10.0,7.78,RU,1592519307.0
banda aceh,5.56,95.32,80.2,75.0,64.0,6.73,ID,1592519102.0
karaton,-6.34,106.1,77.0,88.0,20.0,3.36,ID,1592519256.0
port hedland,-20.32,118.57,60.8,100.0,0.0,5.82,AU,1592519256.0
tena,-0.98,-77.82,73.4,83.0,40.0,2.24,EC,1592519185.0
calvia,39.57,2.51,72.0,83.0,12.0,4.7,ES,1592519185.0
valdez,1.25,-78.98,79.65,85.0,89.0,16.33,EC,1592519256.0
mount isa,-20.73,139.5,66.2,72.0,0.0,5.82,AU,1592518964.0
chernyshevskiy,63.01,112.47,55.96,69.0,100.0,2.35,RU,1592519257.0
shimoda,34.67,138.95,59.0,95.0,100.0,15.86,JP,1592519257.0
mineiros,-17.57,-52.55,67.05,68.0,77.0,3.0,BR,1592519257.0
grants,35.15,-107.85,86.0,6.0,1.0,11.41,US,1592519002.0
wewak,-3.55,143.63,79.79,84.0,17.0,6.58,PG,1592519186.0
kruisfontein,-34.0,24.73,56.86,43.0,0.0,6.76,ZA,1592519257.0
taoudenni,22.68,-3.98,102.7,10.0,21.0,10.51,ML,1592519121.0
zyryanovsk,49.74,84.27,48.0,86.0,8.0,2.19,KZ,1592519258.0
soyo,-6.13,12.37,73.42,90.0,64.0,6.24,AO,1592519258.0
varzea da palma,-17.6,-44.73,66.74,61.0,0.0,4.45,BR,1592519258.0
nebolchi,59.12,33.35,67.03,90.0,0.0,6.38,RU,1592519258.0
kipushi,-11.77,27.23,49.69,76.0,0.0,5.01,CD,1592519258.0
kailua,21.4,-157.74,91.4,43.0,40.0,13.87,US,1592519187.0
rio gallegos,-51.62,-69.22,37.4,100.0,75.0,4.7,AR,1592518907.0
nguru,12.88,10.45,92.57,34.0,50.0,7.29,NG,1592519188.0
borogontsy,62.67,131.17,70.41,41.0,78.0,5.35,RU,1592519259.0
borovskoy,53.8,64.15,44.73,73.0,1.0,7.29,KZ,1592519259.0
klaksvik,62.23,-6.59,50.0,93.0,100.0,5.82,FO,1592518800.0
lasa,46.62,10.7,48.2,87.0,75.0,8.05,IT,1592518985.0
hambantota,6.12,81.12,78.8,100.0,75.0,6.93,LK,1592518934.0
gamba,-2.65,10.0,73.58,88.0,96.0,4.03,GA,1592519259.0
ontario,34.06,-117.65,78.8,50.0,20.0,6.93,US,1592518960.0
pacaembu,-21.56,-51.26,69.69,69.0,45.0,7.31,BR,1592519189.0
abashiri,44.02,144.27,55.0,85.0,98.0,3.0,JP,1592519260.0
lavrentiya,65.58,-171.0,52.61,58.0,0.0,5.1,RU,1592519260.0
ouesso,1.61,16.05,73.09,77.0,22.0,1.03,CG,1592519189.0
the pas,53.83,-101.25,42.8,87.0,90.0,8.05,CA,1592519260.0
codrington,-38.27,141.97,50.68,75.0,66.0,15.48,AU,1592519189.0
ust-tsilma,65.44,52.15,45.59,63.0,28.0,5.1,RU,1592519260.0
northam,51.03,-4.22,57.0,100.0,100.0,8.99,GB,1592519189.0
adrar,20.5,-10.07,98.87,16.0,61.0,15.28,MR,1592519260.0
san quintin,30.48,-115.95,66.94,61.0,0.0,11.59,MX,1592518836.0
tecolutilla,18.28,-93.32,91.4,78.0,40.0,6.93,MX,1592519261.0
deniliquin,-35.53,144.97,53.01,82.0,8.0,10.87,AU,1592519253.0
barra do garcas,-15.89,-52.26,72.86,64.0,66.0,0.43,BR,1592519190.0
okhotsk,59.38,143.3,47.21,88.0,92.0,2.66,RU,1592518822.0
takoradi,4.88,-1.76,77.34,86.0,100.0,7.74,GH,1592519331.0
smidovich,48.6,133.82,52.75,81.0,49.0,4.07,RU,1592519043.0
ust-kuyga,70.02,135.6,75.4,44.0,0.0,3.89,RU,1592519261.0
oktyabrskiy,54.48,53.47,46.42,80.0,0.0,4.56,RU,1592519262.0
roald,62.58,6.13,63.0,77.0,0.0,14.99,NO,1592519029.0
lorengau,-2.02,147.27,84.15,75.0,30.0,8.46,PG,1592518790.0
faanui,-16.48,-151.75,79.9,77.0,100.0,1.19,PF,1592519074.0
la asuncion,11.03,-63.86,71.6,100.0,98.0,18.34,VE,1592519262.0
cayeli,41.09,40.73,69.85,73.0,40.0,3.85,TR,1592519262.0
tahe,52.33,124.73,54.82,85.0,100.0,3.49,CN,1592519262.0
roma,43.21,-75.46,88.0,38.0,1.0,4.23,US,1592519262.0
eureka,40.8,-124.16,64.99,28.0,39.0,1.01,US,1592519231.0
kanigiri,15.4,79.52,82.96,67.0,95.0,7.34,IN,1592519263.0
awjilah,29.11,21.29,79.79,24.0,0.0,8.66,LY,1592519068.0
souillac,-20.52,57.52,69.8,83.0,75.0,13.87,MU,1592518791.0
muskogee,35.58,-95.33,91.4,41.0,20.0,11.41,US,1592519138.0
vigia del fuerte,6.58,-76.89,81.81,85.0,100.0,3.62,CO,1592519193.0
busayra,30.74,35.61,57.99,89.0,3.0,5.66,JO,1592519263.0
semiletka,55.36,54.62,45.28,81.0,0.0,2.46,RU,1592519193.0
san cristobal,7.77,-72.22,75.2,94.0,75.0,4.7,VE,1592519264.0
ndjole,-0.18,10.76,74.68,92.0,40.0,4.09,GA,1592519264.0
pandharpur,17.67,75.33,75.2,83.0,100.0,10.11,IN,1592519264.0
agadez,19.75,10.25,87.21,15.0,16.0,4.7,NE,1592519264.0
rio cuarto,-33.13,-64.35,57.2,30.0,63.0,12.75,AR,1592519056.0
qidong,31.81,121.66,75.0,87.0,51.0,6.71,CN,1592519194.0
sulangan,11.14,123.72,79.52,82.0,100.0,13.38,PH,1592519264.0
salalah,17.02,54.09,82.4,88.0,40.0,4.7,OM,1592519194.0
talara,-4.58,-81.27,66.87,80.0,4.0,19.62,PE,1592519264.0
rio grande,-32.03,-52.1,61.0,96.0,0.0,1.01,BR,1592518922.0
geraldton,-28.77,114.6,50.0,87.0,0.0,10.29,AU,1592518812.0
solnechnyy,50.72,136.63,44.71,93.0,100.0,6.26,RU,1592519048.0
diu,20.71,70.98,84.52,79.0,67.0,14.85,IN,1592519265.0
dunedin,-45.87,170.5,45.0,77.0,58.0,11.99,NZ,1592519059.0
reconquista,-29.15,-59.65,59.56,76.0,0.0,6.02,AR,1592519265.0
beira,-19.84,34.84,66.2,93.0,75.0,10.29,MZ,1592518922.0
maniitsoq,65.42,-52.9,40.53,80.0,0.0,16.44,GL,1592519265.0
tuatapere,-46.13,167.68,39.0,83.0,17.0,3.0,NZ,1592519195.0
snyder,32.72,-100.92,91.4,38.0,1.0,11.41,US,1592519266.0
margate,51.38,1.39,57.99,87.0,50.0,1.99,GB,1592519266.0
sorland,67.67,12.69,47.98,84.0,0.0,22.5,NO,1592519266.0
luwuk,-0.95,122.79,77.56,78.0,96.0,5.53,ID,1592519266.0
christchurch,-43.53,172.63,45.0,100.0,100.0,16.11,NZ,1592519272.0
vanavara,60.34,102.28,53.46,71.0,0.0,3.47,RU,1592519266.0
atakpame,7.53,1.13,69.76,95.0,100.0,3.83,TG,1592519266.0
nome,64.5,-165.41,53.6,81.0,40.0,11.41,US,1592519253.0
yendi,9.44,-0.01,75.79,83.0,100.0,9.17,GH,1592519196.0
westport,41.14,-73.36,75.99,83.0,1.0,9.17,US,1592519105.0
arauco,-37.25,-73.32,55.4,93.0,75.0,13.87,CL,1592519267.0
shingu,33.73,135.98,68.49,97.0,100.0,2.53,JP,1592519267.0
sitka,57.05,-135.33,53.6,93.0,75.0,5.82,US,1592519267.0
tessalit,20.2,1.01,94.96,10.0,0.0,10.69,ML,1592519197.0
grand gaube,-20.01,57.66,70.0,77.0,98.0,5.99,MU,1592518842.0
conde,-7.26,-34.91,73.4,100.0,90.0,1.12,BR,1592519267.0
erice,38.04,12.59,75.99,60.0,35.0,8.05,IT,1592519267.0
shache,38.42,77.24,68.25,32.0,7.0,5.28,CN,1592519267.0
moerai,-22.43,-151.33,72.57,77.0,93.0,22.17,PF,1592519268.0
luba,3.46,8.55,78.8,83.0,75.0,5.82,GQ,1592519268.0
mashhad,36.3,59.61,71.6,21.0,9.0,4.7,IR,1592519268.0
san jose,37.34,-121.89,93.99,15.0,40.0,13.87,US,1592518590.0
north bend,43.41,-124.22,73.0,77.0,1.0,26.4,US,1592518787.0
